Year,Round,Event,Driver,LapNumber,LapTime,GapToWinner,TyreLife,Stint,StintLap,TireDegradation,Compound_SOFT,Compound_MEDIUM,Compound_HARD,TrackTemp
2024,1,Bahrain Grand Prix,LEC,43.0,95.192,28.365,9.0,3.0,9.0,0.20999999999999375,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,44.0,95.051,29.406,10.0,3.0,10.0,-0.14099999999999113,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,45.0,95.22,29.926,11.0,3.0,11.0,0.16899999999999693,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,46.0,95.058,30.897,12.0,3.0,12.0,-0.16199999999999193,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,47.0,95.057,31.762,13.0,3.0,13.0,-0.0010000000000047748,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,48.0,95.308,32.58,14.0,3.0,14.0,0.2510000000000048,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,49.0,95.302,33.538,15.0,3.0,15.0,-0.006000000000000227,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,50.0,95.383,34.437,16.0,3.0,16.0,0.08099999999998886,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,51.0,95.418,35.037,17.0,3.0,17.0,0.0350000000000108,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,52.0,95.394,36.115,18.0,3.0,18.0,-0.02400000000000091,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,53.0,95.48,36.603,19.0,3.0,19.0,0.08599999999999852,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,54.0,95.265,36.483,20.0,3.0,20.0,-0.2150000000000034,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,55.0,95.785,36.414,21.0,3.0,21.0,0.519999999999996,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,56.0,95.924,37.015,22.0,3.0,22.0,0.13900000000001,False,False,True,30.0
2024,1,Bahrain Grand Prix,LEC,57.0,96.324,38.268,23.0,3.0,23.0,0.3999999999999915,False,False,True,30.0
2024,1,Bahrain Grand Prix,NOR,1.0,102.168,0.0,4.0,1.0,1.0,0.0,True,False,False,30.0
